"","day_of_infection","latitude","longitude","population_density","median_age","aged_65_older","extreme_poverty","cvd_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","border_closure","wear_protective_gear_in_public_requirement","businesses_and_public_services_closure","curfews","economic_measures","suspension_international_flights","imports_exports_limit","gatherings_limit","partial_lockdown","schools_closure","established_emergency","quarantine_isolation_policies","full_lockdown","mass_testing","checkpoints_within_the_country","military_deployment","Africa","Asia","Europe","North.America","Oceania","South.America","AFRO","AMRO","EMRO","EURO","SEARO","WPRO","airports_per_pop","temperatura","precip","PERC_POBLACION_RURAL","prison_pop","diabetes","expend__health_public","HIV","lit_rate","non_transm_mortality","num_physicians","tuberculosis","log_population","log_gdp_per_capita","log_n_airports","log_turismo","cumulative_cases"
"1",48,33,65,54.422,18.6,2.581,22.46,597.029,9.59,7.93,37.03,37.746,0.5,64.83,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.33578772339669,12.9214545176,311.321855887,74.505,76,9.2,0.600144406780601,0.1,43.01972,29.8,0.2782,189,17.4772331294169,7.49830866852498,3.97029191355212,14.5865455506036,555
"2",31,41.1533,20.1683,104.871,38,13.188,1.1,304.195,10.08,7.1,51.2,76.8643,2.89,78.57,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1.38995065675169,11.2698000667,1053.23518372,39.681,158,9,4.27755378186703,0.12,98.14115,17,1.2164,18,14.8725370187991,9.37623024844267,1.6094379124341,15.4907363982023,409
"3",37,28.0339,1.6596,17.348,29.1,6.211,0.5,278.364,6.73,0.7,30.4,83.741,1.9,76.88,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3.58030252552944,22.5757911398,81.9735487682,27.371,162,6.7,4.20416407287121,0.1,81.40784,14.2,1.7193,69,17.5963090849369,9.54071110364512,5.06259503302697,14.7927086011062,847
"4",43,42.5063,1.5218,163.755,44.9,17.36,0.79,109.135,7.97,29,37.8,92.3915,0,83.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,22.8779829096556,10.704854365641,811.715173606,11.938,38,7.7,5.06037287414074,0.36,97.633394,9.9,3.3333,3,11.2550092930548,10.7205953872528,1.65370922606254,14.9280260805324,651
"5",43,-11.2027,17.8739,23.89,16.8,2.405,21.4,276.045,3.94,3.79,19.11,26.664,0,61.15,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,5.35503452962776,21.5109326932,991.305683448,34.486,105,4.5,1.29186874255538,2,66.03011,16.5,0.2146,355,17.3079574314401,8.6691405886552,5.17614973257383,12.2922549289167,35
"6",54,17.0608,-61.7964,231.845,32.1,6.933,1.62,191.511,13.17,4.02,18.85,89.1963,3.8,77.02,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,30.63475206274,22.3865859806649,1844.748778783,75.401,403,13.1,2.13234610855579,1.65,98.95,22.6,2.956,6,11.4919980052872,9.97543339969556,1.38629436111989,12.5024703760492,25
"7",34,-38.4161,-63.6167,16.177,31.9,11.198,0.6,191.032,5.5,16.2,27.7,76.6079,5,76.67,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25.1793436364641,14.21522492,559.045870807,8.13,147,5.9,6.60893470048904,0.4,99.00387,15.8,3.9901,27,17.6265142333601,9.84876242878436,7.03790596344718,15.7531006194546,1451
"8",43,40.0691,45.0382,102.931,35.7,11.232,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3.71216043012465,6.37436162538,502.281768799,36.851,164,6.1,1.37250600382686,0.2,99.73607,22.3,4.4023,31,14.9017921349193,9.08120843041632,2.484906649788,14.3174978383898,1039
"9",36,12.5186,-70.0358,584.8,41.2,13.085,2.45,0,11.62,5.24,24.25,85.9249,0,76.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9.36627765393477,22.52962649858,2042.747547276,56.589,690.6,11.6,3.88234719634056,1.65,97.80742,15.87,3.3921,5.4,11.5784041689973,10.4905734441762,0.693147180559945,13.8943226626026,97
"10",36,-35.4735,149.0124,3.202,37.9,15.504,0.5,107.791,5.07,13,16.5,82.1482,3.84,83.44,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,18.8236172553119,21.5066763378,473.091499829,13.988,130,5.6,6.34408071637154,0.1,97.59464,9.1,3.6778,6.6,17.054184382667,10.7066030913227,6.17586727010576,16.0397016916852,27
