,day_of_infection,latitude,longitude,population_density,median_age,aged_65_older,extreme_poverty,cvd_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,border_closure,wear_protective_gear_in_public_requirement,businesses_and_public_services_closure,curfews,economic_measures,suspension_international_flights,imports_exports_limit,gatherings_limit,partial_lockdown,schools_closure,established_emergency,quarantine_isolation_policies,full_lockdown,mass_testing,checkpoints_within_the_country,military_deployment,Africa,Asia,Europe,North America,Oceania,South America,AFRO,AMRO,EMRO,EURO,SEARO,WPRO,airports_per_pop,temperatura,precip,PERC_POBLACION_RURAL,prison_pop,diabetes,expend__health_public,HIV,lit_rate,non_transm_mortality,num_physicians,tuberculosis,log_population,log_gdp_per_capita,log_n_airports,log_turismo
0,48.0,33.0,65.0,54.422,18.6,2.5810000000000004,22.46,597.029,9.59,7.93,37.02999999999999,37.746,0.5,64.83,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.33578772339669,12.921454517599999,311.321855887,74.505,76.0,9.2,0.600144406780601,0.1,43.01972,29.8,0.2782,189.0,17.47723312941691,7.498308668524979,3.970291913552122,14.586545550603574
1,31.0,41.1533,20.1683,104.87100000000001,38.0,13.187999999999999,1.1,304.195,10.08,7.1,51.2,76.8643,2.89,78.57,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.38995065675169,11.2698000667,1053.23518372,39.681,158.0,9.0,4.27755378186703,0.12000000000000004,98.14115,17.0,1.2164,18.0,14.872537018799058,9.37623024844267,1.6094379124341003,15.490736398202278
2,37.0,28.0339,1.6596,17.348,29.1,6.211,0.5,278.36400000000003,6.73,0.7,30.4,83.741,1.9,76.88,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.58030252552944,22.5757911398,81.97354876819999,27.371,162.0,6.7,4.20416407287121,0.1,81.40783999999998,14.2,1.7193,69.0,17.596309084936905,9.54071110364512,5.062595033026967,14.7927086011062
3,43.0,42.5063,1.5218,163.755,44.9,17.36,0.79,109.135,7.97,29.0,37.8,92.3915,0.0,83.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,22.87798290965558,10.704854365641,811.715173606,11.937999999999999,38.0,7.7,5.06037287414074,0.36,97.63339400000001,9.900000000000002,3.3333,3.0,11.25500929305476,10.7205953872528,1.6537092260625434,14.928026080532419
4,43.0,-11.2027,17.8739,23.89,16.8,2.405,21.4,276.045,3.94,3.79,19.11,26.664,0.0,61.15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.35503452962776,21.5109326932,991.3056834480001,34.486,105.0,4.5,1.29186874255538,2.0,66.03011,16.5,0.2146,355.0,17.307957431440077,8.669140588655198,5.176149732573829,12.292254928916668
5,54.0,17.0608,-61.7964,231.845,32.1,6.933,1.6199999999999999,191.511,13.17,4.02,18.85,89.1963,3.8,77.02,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,30.634752062740002,22.386585980664897,1844.7487787829996,75.40100000000001,403.0,13.1,2.13234610855579,1.65,98.95,22.6,2.9560000000000004,6.0,11.49199800528723,9.975433399695557,1.3862943611198906,12.502470376049185
6,34.0,-38.4161,-63.6167,16.177,31.9,11.198,0.6,191.032,5.5,16.2,27.7,76.6079,5.0,76.67,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,25.1793436364641,14.21522492,559.0458708069999,8.13,147.0,5.9,6.60893470048904,0.4,99.00387,15.8,3.9901,27.0,17.6265142333601,9.848762428784356,7.037905963447182,15.753100619454564
7,43.0,40.0691,45.0382,102.931,35.7,11.232000000000001,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.71216043012465,6.37436162538,502.281768799,36.851,164.0,6.1,1.37250600382686,0.2,99.73607,22.3,4.4023,31.0,14.901792134919317,9.081208430416325,2.4849066497880004,14.317497838389754
8,36.0,12.5186,-70.0358,584.8,41.2,13.085,2.45,0.0,11.62,5.24,24.250000000000004,85.92490000000001,0.0,76.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.36627765393477,22.529626498579997,2042.7475472760002,56.589,690.6,11.6,3.882347196340561,1.65,97.80742,15.870000000000001,3.3921,5.4,11.578404168997322,10.490573444176233,0.6931471805599453,13.894322662602555
9,36.0,-35.4735,149.0124,3.202,37.9,15.504000000000001,0.5,107.791,5.07,13.0,16.5,82.1482,3.84,83.44,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.8236172553119,21.506676337800002,473.09149982900004,13.988,130.0,5.6,6.34408071637154,0.1,97.59464,9.1,3.6778,6.6,17.054184382666968,10.706603091322746,6.175867270105761,16.03970169168518
